level_up,Vanishing Journey,Chu Chu Island,Lachelein,Arcana,Morass,Esfera
1 to 2,970000,1210000,1450000,1690000,1930000,2170000
2 to 3,1230000,1530000,1830000,2130000,2430000,2730000
3 to 4,1660000,2060000,2460000,2860000,3260000,3660000
4 to 5,2260000,2800000,3340000,3880000,4420000,4960000
5 to 6,3060000,3780000,4500000,5220000,5940000,6660000
6 to 7,4040000,4980000,5920000,6860000,7800000,8740000
7 to 8,5220000,6420000,7620000,8820000,10020000,11220000
8 to 9,6600000,8100000,9600000,11100000,12600000,14100000
9 to 10,8180000,10020000,11860000,13700000,15540000,17380000
10 to 11,9990000,12210000,14430000,16650000,18870000,21090000
11 to 12,12010000,14650000,17290000,19930000,22570000,25210000
12 to 13,14260000,17360000,20460000,23560000,26660000,29760000
13 to 14,16740000,20340000,23940000,27540000,31140000,34740000
14 to 15,19450000,23590000,27730000,31870000,36010000,40150000
15 to 16,22420000,27140000,31860000,36580000,41300000,46020000
16 to 17,25630000,30970000,36310000,41650000,46990000,52330000
17 to 18,29100000,35100000,41100000,47100000,53100000,59100000
18 to 19,32830000,39530000,46230000,52930000,59630000,66330000
19 to 20,36820000,44260000,51700000,59140000,66580000,74020000
TOTAL,252470000,306050000,359630000,413210000,466790000,520370000
