level_up,Cernium,Hotel Arcus,Odium,Shangri-La,Arteria,Carcion
1 to 2,36500000,41700000,46900000,52200000,57400000,62600000
2 to 3,91200000,104800000,118500000,132200000,145900000,159600000
3 to 4,160700000,186100000,211500000,236800000,262200000,287600000
4 to 5,241900000,282200000,322500000,362800000,403200000,443500000
5 to 6,331500000,390000000,448500000,507000000,565500000,624000000
6 to 7,426200000,506100000,586000000,666000000,745900000,825800000
7 to 8,522900000,627400000,732000000,836600000,941200000,1045800000
8 to 9,618200000,750700000,883200000,1015600000,1148100000,1280600000
9 to 10,709000000,872600000,1036200000,1199800000,1363500000,1527100000
10 to 11,792000000,990000000,1188000000,1386000000,1584000000,1782000000
TOTAL,3930100000,4751600000,5573300000,6395000000,7216900000,8038600000
