id,symbol,type,daily_quest,our_daily_symbols,weekly_quest,our_weekly,extra_quest,our_extra,correct? (y / the right value),notes
1,Vanishing Journey,arcane,Vanishing Journey Research,20,Erda Spectrum,"80 per clear, 3 a week (240)",Reverse City,doubles the daily (20 to 40),y,Brian 2026-09-22
2,Chu Chu Island,arcane,Chu Chu's Finest Cuisine,20,Hungry Muto,"80 per clear, 3 a week (240)",Yum Yum Island,doubles the daily (20 to 40),y,Brian 2026-09-22
3,Lachelein,arcane,A Night's Peace in Lachelein,40,Midnight Chaser,"80 per clear, 3 a week (240)",,,y,Brian 2026-09-22
4,Arcana,arcane,Peace in Arcana,40,Spirit Savior,"80 per clear, 3 a week (240)",,,y,Brian 2026-09-22
5,Morass,arcane,Save the Morass,40,Ranheim Defense,"80 per clear, 3 a week (240)",,,y,Brian 2026-09-22
6,Esfera,arcane,Esfera Research Orders,40,Esfera Guardian,"80 per clear, 3 a week (240)",,,y,Brian 2026-09-22
7,Cernium,sacred,Cernium Research,30,,,,,y,Brian 2026-09-22
8,Arcus,sacred,Clean Up Around Hotel Arcus,15,,,,,y,"Brian 2026-09-22. Called Hotel Arcus until 2.0; Brian chose Arcus, the name on the symbol item (Sacred Symbol: Arcus). The id stays 8, so saved progress is unaffected."
9,Odium,sacred,Odium Area Expedition,15,,,,,y,Brian 2026-09-22
10,Shangri-La,sacred,Shangri-La Contamination Purification,15,,,,,y,Brian 2026-09-22
11,Arteria,sacred,Defeat the Arteria Remnants,15,,,,,y,Brian 2026-09-22
12,Carcion,sacred,Carcion Recovery Support,15,,,,,y,Brian 2026-09-22
