level_up,Vanishing Journey,Chu Chu Island,Lachelein,Arcana,Morass,Esfera
1 to 2,670000,840000,1010000,1180000,1350000,1510000
2 to 3,860000,1070000,1280000,1490000,1700000,1910000
3 to 4,1160000,1440000,1720000,2000000,2280000,2560000
4 to 5,1580000,1960000,2330000,2710000,3090000,3470000
5 to 6,2140000,2640000,3150000,3650000,4150000,4660000
6 to 7,2820000,3480000,4140000,4800000,5460000,6110000
7 to 8,3650000,4490000,5330000,6170000,7010000,7850000
8 to 9,4620000,5670000,6720000,7770000,8820000,9870000
9 to 10,5720000,7010000,8300000,9590000,10870000,12160000
10 to 11,6990000,8540000,10100000,11650000,13200000,14760000
11 to 12,8400000,10250000,12100000,13950000,15790000,17640000
12 to 13,9980000,12150000,14320000,16490000,18660000,20830000
13 to 14,11710000,14230000,16750000,19270000,21790000,24310000
14 to 15,13610000,16510000,19410000,22300000,25200000,28100000
15 to 16,15690000,18990000,22300000,25600000,28910000,32210000
16 to 17,17940000,21670000,25410000,29150000,32890000,36630000
17 to 18,20370000,24570000,28770000,32970000,37170000,41370000
18 to 19,22980000,27670000,32360000,37050000,41740000,46430000
19 to 20,25770000,30980000,36190000,41390000,46600000,51810000
total,176660000,214160000,251690000,289180000,326680000,364190000
source,"Derived: 10000 x floor(0.7 x floor((L^2 + 11)(k + 0.1L))), k = 8..18. KMS 1.2.419 (2026-09-17, maplestory.nexon.com/news/update/813) cut arcane costs 30 %; Nexon rounds down to 10,000. Confirmed three ways: the official guide screenshot (Articles/396, uploaded 2026-09-15) shows 670,000 for Vanishing Journey 1 to 2; namu.wiki 아케인포스 (2026-09-22) gives 1,622,560,000 for all six, which only this rounding produces; mitemprice.kr's calculator (2026-09-21) uses the same rule. Sacred and Grand Sacred costs were not cut (dcinside 2026-09-21 total matches the GMS formula)."
